series_id,date,fips_code,area_text,value
LAUCN420290000000003,2024-07-01,42029,"Chester County, PA",3.1
LAUCN420910000000003,2024-07-01,42091,"Montgomery County, PA",3.3
LAUCN240150000000003,2024-07-01,24015,"Cecil County, MD",3.5
LAUCN420170000000003,2024-07-01,42017,"Bucks County, PA",3.5
LAUCN420450000000003,2024-07-01,42045,"Delaware County, PA",3.8
LAUCN100030000000003,2024-07-01,10003,"New Castle County, DE",4.8
LAUCN340050000000003,2024-07-01,34005,"Burlington County, NJ",4.9
LAUCN421010000000003,2024-07-01,42101,"Philadelphia County, PA",5.1
LAUCN340150000000003,2024-07-01,34015,"Gloucester County, NJ",5.3
LAUCN340070000000003,2024-07-01,34007,"Camden County, NJ",5.9
LAUCN340330000000003,2024-07-01,34033,"Salem County, NJ",6.8
