series_id,date,area_code,area_name,industry_name,employment,yoy_chg
SMU42379806500000001,2024-07-01,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Private Education and Health Services,723600,4.915180513266626
SMU42379807000000001,2024-07-01,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Leisure and Hospitality,303300,4.6945115636865875
SMU42379809000000001,2024-07-01,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Government,328100,2.788220551378462
SMU42379800700000001,2024-07-01,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Service-Providing,2812600,2.3657009753967007
SMU42379800800000001,2024-07-01,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Private Service Providing,2484500,2.310163070334381
SMU42379800000000001,2024-07-01,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Total Nonfarm,3124500,2.1646012490599276
SMU42379800500000001,2024-07-01,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Total Private,2796400,2.0919280055492706
SMU42379808000000001,2024-07-01,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Other Services,127000,2.0900321543408262
SMU42379801500000001,2024-07-01,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","Mining, Logging and Construction",130100,1.9592476489028288
SMU42379806000000001,2024-07-01,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Professional and Business Services,503500,1.1653606590315446
SMU42379804300000001,2024-07-01,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","Transportation, Warehousing, and Utilities",139200,1.015965166908539
SMU42379805500000001,2024-07-01,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Financial Activities,233100,0.9090909090909038
SMU42379800600000001,2024-07-01,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Goods Producing,311900,0.3862246540070835
SMU42379804100000001,2024-07-01,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Wholesale Trade,122100,0.1640689089417391
SMU42379804000000001,2024-07-01,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","Trade, Transportation, and Utilities",541000,-0.2581120943952797
SMU42379803100000001,2024-07-01,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Durable Goods,93000,-0.5347593582887722
SMU42379803000000001,2024-07-01,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Manufacturing,181800,-0.7099945385035444
SMU42379803200000001,2024-07-01,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Non-Durable Goods,88800,-0.8928571428571397
SMU42379805000000001,2024-07-01,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Information,53000,-0.9345794392523366
SMU42379804200000001,2024-07-01,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Retail Trade,279700,-1.0611956137247969
